Counter,X-DATA,Y-DATA,Z-DATA
0,-4,-42,64
1,-4,-42,64
2,-4,-42,66
3,-4,-42,64
4,-5,-42,65
5,-4,-42,65
6,-4,-43,64
7,-4,-42,66
8,-4,-43,64
9,-5,-42,64
10,-4,-42,65
11,-5,-42,66
12,-4,-42,64
13,-4,-42,67
14,-4,-42,66
15,-5,-41,66
16,-4,-42,65
17,-5,-42,65
18,-5,-42,65
19,-4,-42,65
20,-4,-43,64
21,-5,-42,64
22,-4,-42,64
23,-4,-43,65
24,-4,-41,65
25,-4,-42,64
26,-4,-43,65
27,-5,-42,66
28,-4,-42,66
29,-4,-42,66
30,-5,-42,64
31,-4,-42,66
32,-4,-42,64
33,-4,-43,64
34,-4,-42,65
35,-5,-42,65
36,-4,-42,65
37,-5,-42,65
38,-4,-42,65
39,-5,-42,66
40,-4,-42,64
41,-4,-42,66
42,-4,-42,66
43,-4,-42,65
44,-4,-42,65
45,-5,-42,65
46,-5,-42,65
47,-4,-43,64
48,-4,-42,64
49,-4,-42,64
50,-5,-41,64
51,-4,-41,66
52,-5,-42,64
53,-4,-42,67
54,-4,-42,65
55,-5,-42,66
56,-4,-42,65
57,-5,-42,65
58,-4,-42,65
59,-5,-42,66
60,-4,-42,66
61,-4,-42,66
62,-4,-42,66
63,-5,-42,65
64,-4,-42,66
65,-5,-42,65
66,-5,-41,66
67,-4,-42,66
68,-5,-42,65
69,-4,-42,64
70,-4,-42,67
71,-4,-42,65
72,-5,-42,65
73,-5,-41,64
74,-4,-42,64
75,-5,-42,65
76,-4,-42,64
77,-4,-42,66
78,-4,-42,65
79,-5,-42,66
80,-4,-42,65
81,-4,-42,66
82,-5,-41,64
83,-5,-42,65
84,-4,-42,65
85,-4,-42,64
86,-5,-42,65
87,-4,-42,67
88,-4,-42,65
89,-4,-42,66
90,-4,-42,65
91,-5,-42,66
92,-4,-42,64
93,-5,-42,66
94,-5,-42,66
95,-5,-41,65
96,-4,-42,64
97,-5,-42,65
98,-5,-43,64
99,-5,-42,65
100,-4,-42,65
101,-4,-42,65
102,-5,-43,66
103,-4,-42,64
104,-4,-42,64
105,-5,-42,65
106,-4,-42,66
107,-4,-42,65
108,-4,-42,65
109,-4,-42,64
110,-4,-42,65
111,-4,-42,65
112,-4,-42,65
113,-5,-42,65
114,-4,-42,66
115,-5,-42,65
116,-5,-42,64
117,-5,-42,67
118,-5,-42,64
119,-5,-42,65
120,-5,-42,65
121,-5,-42,64
122,-5,-42,65
123,-4,-42,63
124,-4,-43,65
125,-5,-42,65
126,-4,-42,65
127,-4,-42,64
128,-5,-42,67
129,-5,-42,65
130,-4,-43,65
131,-5,-42,65
132,-5,-42,65
133,-4,-42,65
134,-5,-42,66
135,-4,-42,66
136,-5,-42,64
137,-5,-42,64
138,-5,-42,66
139,-5,-42,64
140,-4,-43,65
141,-5,-43,66
142,-4,-42,65
143,-4,-42,64
144,-5,-42,65
145,-4,-42,65
146,-5,-42,65
147,-4,-42,65
148,-4,-42,65
149,-4,-42,66
150,-5,-41,64
151,-4,-43,66
152,-4,-42,66
153,-5,-41,65
154,-4,-42,64
155,-5,-42,64
156,-5,-42,64
157,-4,-42,67
158,-4,-42,64
159,-4,-42,66
160,-5,-42,66
161,-4,-42,66
162,-4,-42,64
163,-4,-42,64
164,-5,-41,65
165,-4,-42,66
166,-4,-42,66
167,-4,-42,65
168,-4,-42,65
169,-5,-42,66
170,-5,-42,66
171,-4,-42,65
172,-5,-42,66
173,-4,-42,65
174,-5,-42,64
175,-4,-41,65
176,-4,-42,66
177,-4,-42,65
178,-5,-42,64
179,-4,-42,65
180,-4,-43,64
181,-5,-42,66
182,-4,-42,64
183,-5,-41,65
184,-4,-42,64
185,-4,-42,65
186,-4,-42,66
187,-4,-42,65
188,-4,-42,64
189,-4,-42,64
190,-5,-42,64
191,-4,-43,64
192,-4,-42,64
193,-5,-42,65
194,-4,-42,64
195,-5,-42,64
196,-5,-42,66
197,-4,-42,66
198,-4,-42,66
199,-5,-42,64
200,-4,-42,66
201,-4,-43,66
202,-4,-42,64
203,-4,-43,64
204,-4,-42,64
205,-5,-42,64
206,-4,-42,64
207,-4,-42,65
208,-5,-42,66
209,-5,-42,65
210,-4,-42,65
211,-4,-42,64
212,-5,-42,65
213,-4,-42,65
214,-5,-42,65
215,-4,-42,65
216,-4,-42,66
217,-4,-42,65
218,-4,-42,64
219,-4,-41,66
220,-4,-42,66
221,-4,-42,65
222,-4,-43,65
223,-4,-43,65
224,-4,-42,67
225,-4,-42,64
226,-4,-42,65
227,-4,-42,65
228,-4,-42,65
229,-4,-42,65
230,-4,-43,64
231,-4,-42,65
232,-5,-42,65
233,-5,-42,64
234,-4,-42,65
235,-4,-42,66
